id,student_id,course_id,created_by,created_date,last_modified_by,last_modified_date
1,1,1,\N,\N,\N,\N
2,1,628,\N,\N,\N,\N
3,1,842,\N,\N,\N,\N
4,1,2809,\N,\N,\N,\N
5,1,2848,\N,\N,\N,\N
6,2,39,\N,\N,\N,\N
7,2,1234,\N,\N,\N,\N
8,2,1724,\N,\N,\N,\N
9,2,2582,\N,\N,\N,\N
10,2,2711,\N,\N,\N,\N
11,3,414,\N,\N,\N,\N
12,3,1106,\N,\N,\N,\N
13,3,2132,\N,\N,\N,\N
14,3,2551,\N,\N,\N,\N
15,3,2714,\N,\N,\N,\N
16,4,562,\N,\N,\N,\N
17,4,1716,\N,\N,\N,\N
18,4,2481,\N,\N,\N,\N
19,4,2871,\N,\N,\N,\N
20,4,3403,\N,\N,\N,\N
21,5,430,\N,\N,\N,\N
22,5,2096,\N,\N,\N,\N
23,5,2531,\N,\N,\N,\N
24,5,2945,\N,\N,\N,\N
25,5,3681,\N,\N,\N,\N
26,6,436,\N,\N,\N,\N
27,6,467,\N,\N,\N,\N
28,6,483,\N,\N,\N,\N
29,6,1158,\N,\N,\N,\N
30,6,3215,\N,\N,\N,\N
31,7,814,\N,\N,\N,\N
32,7,819,\N,\N,\N,\N
33,7,2039,\N,\N,\N,\N
34,7,2495,\N,\N,\N,\N
35,7,3187,\N,\N,\N,\N
36,8,827,\N,\N,\N,\N
37,8,1078,\N,\N,\N,\N
38,8,2143,\N,\N,\N,\N
39,8,3406,\N,\N,\N,\N
40,8,3986,\N,\N,\N,\N
41,9,657,\N,\N,\N,\N
42,9,1210,\N,\N,\N,\N
43,9,1467,\N,\N,\N,\N
44,9,1679,\N,\N,\N,\N
45,9,2882,\N,\N,\N,\N
46,10,162,\N,\N,\N,\N
47,10,851,\N,\N,\N,\N
48,10,2034,\N,\N,\N,\N
49,10,2246,\N,\N,\N,\N
50,10,3729,\N,\N,\N,\N
51,11,961,\N,\N,\N,\N
52,11,1355,\N,\N,\N,\N
53,11,1969,\N,\N,\N,\N
54,11,2819,\N,\N,\N,\N
55,11,3823,\N,\N,\N,\N
56,12,12,\N,\N,\N,\N
57,12,53,\N,\N,\N,\N
58,12,365,\N,\N,\N,\N
59,12,2752,\N,\N,\N,\N
60,12,3715,\N,\N,\N,\N
61,13,453,\N,\N,\N,\N
62,13,2024,\N,\N,\N,\N
63,13,2352,\N,\N,\N,\N
