id,title,capacity,current_count,version,created_by,created_date,last_modified_by,last_modified_date
1,Course 0001,500,500,0,\N,\N,\N,\N
2,Course 0002,500,0,0,\N,\N,\N,\N
3,Course 0003,500,500,0,\N,\N,\N,\N
4,Course 0004,500,500,0,\N,\N,\N,\N
5,Course 0005,500,500,0,\N,\N,\N,\N
6,Course 0006,500,0,0,\N,\N,\N,\N
7,Course 0007,500,500,0,\N,\N,\N,\N
8,Course 0008,500,500,0,\N,\N,\N,\N
9,Course 0009,500,500,0,\N,\N,\N,\N
10,Course 0010,500,500,0,\N,\N,\N,\N
11,Course 0011,500,0,0,\N,\N,\N,\N
12,Course 0012,500,500,0,\N,\N,\N,\N
13,Course 0013,500,500,0,\N,\N,\N,\N
14,Course 0014,500,500,0,\N,\N,\N,\N
15,Course 0015,500,500,0,\N,\N,\N,\N
16,Course 0016,500,0,0,\N,\N,\N,\N
17,Course 0017,500,500,0,\N,\N,\N,\N
18,Course 0018,500,457,0,\N,\N,\N,\N
19,Course 0019,500,458,0,\N,\N,\N,\N
20,Course 0020,500,457,0,\N,\N,\N,\N
21,Course 0021,500,0,0,\N,\N,\N,\N
22,Course 0022,500,456,0,\N,\N,\N,\N
23,Course 0023,500,456,0,\N,\N,\N,\N
24,Course 0024,500,458,0,\N,\N,\N,\N
25,Course 0025,500,458,0,\N,\N,\N,\N
26,Course 0026,500,0,0,\N,\N,\N,\N
27,Course 0027,500,0,0,\N,\N,\N,\N
28,Course 0028,500,0,0,\N,\N,\N,\N
29,Course 0029,500,0,0,\N,\N,\N,\N
30,Course 0030,500,0,0,\N,\N,\N,\N
31,Course 0031,500,0,0,\N,\N,\N,\N
32,Course 0032,500,0,0,\N,\N,\N,\N
33,Course 0033,500,0,0,\N,\N,\N,\N
34,Course 0034,500,0,0,\N,\N,\N,\N
35,Course 0035,500,0,0,\N,\N,\N,\N
36,Course 0036,500,0,0,\N,\N,\N,\N
37,Course 0037,500,0,0,\N,\N,\N,\N
38,Course 0038,500,0,0,\N,\N,\N,\N
39,Course 0039,500,0,0,\N,\N,\N,\N
40,Course 0040,500,0,0,\N,\N,\N,\N
41,Course 0041,500,0,0,\N,\N,\N,\N
42,Course 0042,500,0,0,\N,\N,\N,\N
43,Course 0043,500,0,0,\N,\N,\N,\N
44,Course 0044,500,0,0,\N,\N,\N,\N
45,Course 0045,500,0,0,\N,\N,\N,\N
46,Course 0046,500,0,0,\N,\N,\N,\N
47,Course 0047,500,0,0,\N,\N,\N,\N
48,Course 0048,500,0,0,\N,\N,\N,\N
49,Course 0049,500,0,0,\N,\N,\N,\N
50,Course 0050,500,0,0,\N,\N,\N,\N
51,Course 0051,500,0,0,\N,\N,\N,\N
52,Course 0052,500,0,0,\N,\N,\N,\N
53,Course 0053,500,0,0,\N,\N,\N,\N
