id,course_id,day_of_week,start_time,end_time,location,created_by,created_date,last_modified_by,last_modified_date
1,1,TUESDAY,10:30:00,12:00:00,R001,\N,\N,\N,\N
2,2,WEDNESDAY,09:30:00,11:00:00,R002,\N,\N,\N,\N
3,3,THURSDAY,11:30:00,13:00:00,R003,\N,\N,\N,\N
4,4,FRIDAY,10:30:00,12:00:00,R004,\N,\N,\N,\N
5,5,MONDAY,10:00:00,11:30:00,R005,\N,\N,\N,\N
6,6,TUESDAY,11:00:00,12:30:00,R006,\N,\N,\N,\N
7,7,WEDNESDAY,10:00:00,11:30:00,R007,\N,\N,\N,\N
8,8,THURSDAY,14:00:00,15:30:00,R008,\N,\N,\N,\N
9,9,FRIDAY,11:30:00,13:00:00,R009,\N,\N,\N,\N
10,10,MONDAY,15:30:00,17:00:00,R010,\N,\N,\N,\N
11,11,TUESDAY,14:30:00,16:00:00,R011,\N,\N,\N,\N
12,12,WEDNESDAY,10:00:00,11:30:00,R012,\N,\N,\N,\N
13,13,THURSDAY,09:30:00,11:00:00,R013,\N,\N,\N,\N
14,14,FRIDAY,11:30:00,13:00:00,R014,\N,\N,\N,\N
15,15,MONDAY,11:30:00,13:00:00,R015,\N,\N,\N,\N
16,16,TUESDAY,10:00:00,11:30:00,R016,\N,\N,\N,\N
17,17,WEDNESDAY,13:00:00,14:30:00,R017,\N,\N,\N,\N
18,18,THURSDAY,09:30:00,11:00:00,R018,\N,\N,\N,\N
19,19,FRIDAY,14:30:00,16:00:00,R019,\N,\N,\N,\N
20,20,MONDAY,11:00:00,12:30:00,R020,\N,\N,\N,\N
21,21,TUESDAY,14:00:00,15:30:00,R021,\N,\N,\N,\N
22,22,WEDNESDAY,14:00:00,15:30:00,R022,\N,\N,\N,\N
23,23,THURSDAY,10:00:00,11:30:00,R023,\N,\N,\N,\N
24,24,FRIDAY,13:00:00,14:30:00,R024,\N,\N,\N,\N
25,25,MONDAY,15:30:00,17:00:00,R025,\N,\N,\N,\N
26,26,TUESDAY,11:30:00,13:00:00,R026,\N,\N,\N,\N
27,27,WEDNESDAY,09:00:00,10:30:00,R027,\N,\N,\N,\N
28,28,THURSDAY,10:00:00,11:30:00,R028,\N,\N,\N,\N
29,29,FRIDAY,14:30:00,16:00:00,R029,\N,\N,\N,\N
30,30,MONDAY,13:30:00,15:00:00,R030,\N,\N,\N,\N
31,31,TUESDAY,11:30:00,13:00:00,R031,\N,\N,\N,\N
32,32,WEDNESDAY,11:30:00,13:00:00,R032,\N,\N,\N,\N
33,33,THURSDAY,11:30:00,13:00:00,R033,\N,\N,\N,\N
34,34,FRIDAY,13:30:00,15:00:00,R034,\N,\N,\N,\N
35,35,MONDAY,10:00:00,11:30:00,R035,\N,\N,\N,\N
