student_id,course_id,scenario_type,expected_status,scheduled_offset_ms
31596,1,HOTSPOT,200,0
22134,1,HOTSPOT,200,0
37271,1,HOTSPOT,200,0
31598,1,HOTSPOT,200,1
20605,1,HOTSPOT,200,1
22662,1,HOTSPOT,200,1
13964,1,HOTSPOT,200,1
18375,1,HOTSPOT,200,1
5563,1,HOTSPOT,200,1
9598,1,HOTSPOT,200,2
5821,1,HOTSPOT,200,2
12634,1,HOTSPOT,200,2
11448,1,HOTSPOT,200,2
39296,1,HOTSPOT,200,2
5219,1,HOTSPOT,200,2
17048,1,HOTSPOT,200,2
2977,1,HOTSPOT,200,3
13930,1,HOTSPOT,200,3
29460,1,HOTSPOT,200,3
11320,1,HOTSPOT,200,4
11398,1,HOTSPOT,200,4
38602,1,HOTSPOT,200,4
4386,1,HOTSPOT,200,4
17816,1,HOTSPOT,200,4
25715,1,HOTSPOT,200,4
30572,1,HOTSPOT,200,5
4992,1,HOTSPOT,200,5
21677,1,HOTSPOT,200,5
28169,1,HOTSPOT,200,5
22328,1,HOTSPOT,200,5
33282,1,HOTSPOT,200,5
25491,1,HOTSPOT,200,5
22595,1,HOTSPOT,200,5
15934,1,HOTSPOT,200,6
18372,1,HOTSPOT,200,6
25760,1,HOTSPOT,200,6
39118,1,HOTSPOT,200,7
16050,1,HOTSPOT,200,7
9648,1,HOTSPOT,200,7
34446,1,HOTSPOT,200,7
34467,1,HOTSPOT,200,8
12279,1,HOTSPOT,200,8
35741,1,HOTSPOT,200,8
8019,1,HOTSPOT,200,8
15327,1,HOTSPOT,200,9
25471,1,HOTSPOT,200,9
33026,1,HOTSPOT,200,9
14998,1,HOTSPOT,200,9
14906,1,HOTSPOT,200,10
25521,1,HOTSPOT,200,10
20632,1,HOTSPOT,200,10
10020,1,HOTSPOT,200,10
33708,1,HOTSPOT,200,10
97,1,HOTSPOT,200,11
34025,1,HOTSPOT,200,11
16528,1,HOTSPOT,200,11
31751,1,HOTSPOT,200,12
24388,1,HOTSPOT,200,12
19140,1,HOTSPOT,200,13
1611,1,HOTSPOT,200,13
5815,1,HOTSPOT,200,13
31043,1,HOTSPOT,200,13
11764,1,HOTSPOT,200,14
26011,1,HOTSPOT,200,14
14302,1,HOTSPOT,200,14
29631,1,HOTSPOT,200,14
1115,1,HOTSPOT,200,15
11232,1,HOTSPOT,200,15
30713,1,HOTSPOT,200,15
16083,1,HOTSPOT,200,15
5957,1,HOTSPOT,200,15
7210,1,HOTSPOT,200,15
15896,1,HOTSPOT,200,15
28811,1,HOTSPOT,200,16
20115,1,HOTSPOT,200,16
37577,1,HOTSPOT,200,16
21765,1,HOTSPOT,200,16
26313,1,HOTSPOT,200,16
26179,1,HOTSPOT,200,17
10230,1,HOTSPOT,200,17
18948,1,HOTSPOT,200,17
14853,1,HOTSPOT,200,17
9260,1,HOTSPOT,200,17
18276,1,HOTSPOT,200,18
19981,1,HOTSPOT,200,18
37292,1,HOTSPOT,200,18
24395,1,HOTSPOT,200,18
38004,1,HOTSPOT,200,18
26014,1,HOTSPOT,200,18
31416,1,HOTSPOT,200,19
29228,1,HOTSPOT,200,19
27964,1,HOTSPOT,200,19
7296,1,HOTSPOT,200,19
28586,1,HOTSPOT,200,20
6068,1,HOTSPOT,200,20
24248,1,HOTSPOT,200,20
3497,1,HOTSPOT,200,20
13809,1,HOTSPOT,200,21
7588,1,HOTSPOT,200,21
24512,1,HOTSPOT,200,21
11075,1,HOTSPOT,200,21
6725,1,HOTSPOT,200,22
37975,1,HOTSPOT,200,22
32210,1,HOTSPOT,200,22
9329,1,HOTSPOT,200,22
16580,1,HOTSPOT,200,22
24498,1,HOTSPOT,200,22
25335,1,HOTSPOT,200,22
30328,1,HOTSPOT,200,23
7439,1,HOTSPOT,200,23
958,1,HOTSPOT,200,23
24841,1,HOTSPOT,200,23
36727,1,HOTSPOT,200,23
6598,1,HOTSPOT,200,24
23452,1,HOTSPOT,200,24
