id,course_id,pre_course_id,department_id,created_by,created_date,last_modified_by,last_modified_date
1,2,1,1,\N,\N,\N,\N
2,6,3,2,\N,\N,\N,\N
3,11,7,3,\N,\N,\N,\N
4,16,11,4,\N,\N,\N,\N
5,21,15,5,\N,\N,\N,\N
6,26,19,6,\N,\N,\N,\N
7,31,23,7,\N,\N,\N,\N
8,36,27,8,\N,\N,\N,\N
9,41,31,9,\N,\N,\N,\N
10,46,35,10,\N,\N,\N,\N
11,51,39,11,\N,\N,\N,\N
12,56,43,12,\N,\N,\N,\N
13,61,47,13,\N,\N,\N,\N
14,66,51,14,\N,\N,\N,\N
15,71,55,15,\N,\N,\N,\N
16,76,59,16,\N,\N,\N,\N
17,81,63,17,\N,\N,\N,\N
18,86,67,18,\N,\N,\N,\N
19,91,71,19,\N,\N,\N,\N
20,96,75,20,\N,\N,\N,\N
21,101,79,21,\N,\N,\N,\N
22,106,83,22,\N,\N,\N,\N
23,111,87,23,\N,\N,\N,\N
24,116,91,24,\N,\N,\N,\N
25,121,95,25,\N,\N,\N,\N
26,126,99,26,\N,\N,\N,\N
27,131,103,27,\N,\N,\N,\N
28,136,107,28,\N,\N,\N,\N
29,141,111,29,\N,\N,\N,\N
30,146,115,30,\N,\N,\N,\N
31,151,119,31,\N,\N,\N,\N
32,156,123,32,\N,\N,\N,\N
33,161,127,33,\N,\N,\N,\N
34,166,131,34,\N,\N,\N,\N
35,171,135,35,\N,\N,\N,\N
36,176,139,36,\N,\N,\N,\N
37,181,143,37,\N,\N,\N,\N
38,186,147,38,\N,\N,\N,\N
39,191,151,39,\N,\N,\N,\N
40,196,155,40,\N,\N,\N,\N
41,201,159,41,\N,\N,\N,\N
42,206,163,42,\N,\N,\N,\N
43,211,167,43,\N,\N,\N,\N
44,216,171,44,\N,\N,\N,\N
45,221,175,45,\N,\N,\N,\N
46,226,179,46,\N,\N,\N,\N
47,231,183,47,\N,\N,\N,\N
48,236,187,48,\N,\N,\N,\N
49,241,191,49,\N,\N,\N,\N
50,246,245,50,\N,\N,\N,\N
51,251,249,51,\N,\N,\N,\N
52,256,253,52,\N,\N,\N,\N
53,261,257,53,\N,\N,\N,\N
54,266,261,54,\N,\N,\N,\N
55,271,265,55,\N,\N,\N,\N
56,276,269,56,\N,\N,\N,\N
57,281,273,57,\N,\N,\N,\N
58,286,277,58,\N,\N,\N,\N
59,291,281,59,\N,\N,\N,\N
60,296,285,60,\N,\N,\N,\N
61,301,289,61,\N,\N,\N,\N
62,306,293,62,\N,\N,\N,\N
63,311,297,63,\N,\N,\N,\N
64,316,301,64,\N,\N,\N,\N
65,321,305,65,\N,\N,\N,\N
66,326,309,66,\N,\N,\N,\N
