student_id,department_id,member_id,created_by,created_date,last_modified_by,last_modified_date
1,1,1,\N,\N,\N,\N
2,2,2,\N,\N,\N,\N
3,3,3,\N,\N,\N,\N
4,4,4,\N,\N,\N,\N
5,5,5,\N,\N,\N,\N
6,6,6,\N,\N,\N,\N
7,7,7,\N,\N,\N,\N
8,8,8,\N,\N,\N,\N
9,9,9,\N,\N,\N,\N
10,10,10,\N,\N,\N,\N
11,11,11,\N,\N,\N,\N
12,12,12,\N,\N,\N,\N
13,13,13,\N,\N,\N,\N
14,14,14,\N,\N,\N,\N
15,15,15,\N,\N,\N,\N
16,16,16,\N,\N,\N,\N
17,17,17,\N,\N,\N,\N
18,18,18,\N,\N,\N,\N
19,19,19,\N,\N,\N,\N
20,20,20,\N,\N,\N,\N
21,21,21,\N,\N,\N,\N
22,22,22,\N,\N,\N,\N
23,23,23,\N,\N,\N,\N
24,24,24,\N,\N,\N,\N
25,25,25,\N,\N,\N,\N
26,26,26,\N,\N,\N,\N
27,27,27,\N,\N,\N,\N
28,28,28,\N,\N,\N,\N
29,29,29,\N,\N,\N,\N
30,30,30,\N,\N,\N,\N
31,31,31,\N,\N,\N,\N
32,32,32,\N,\N,\N,\N
33,33,33,\N,\N,\N,\N
34,34,34,\N,\N,\N,\N
35,35,35,\N,\N,\N,\N
36,36,36,\N,\N,\N,\N
37,37,37,\N,\N,\N,\N
38,38,38,\N,\N,\N,\N
39,39,39,\N,\N,\N,\N
40,40,40,\N,\N,\N,\N
41,41,41,\N,\N,\N,\N
42,42,42,\N,\N,\N,\N
43,43,43,\N,\N,\N,\N
44,44,44,\N,\N,\N,\N
45,45,45,\N,\N,\N,\N
46,46,46,\N,\N,\N,\N
47,47,47,\N,\N,\N,\N
48,48,48,\N,\N,\N,\N
49,49,49,\N,\N,\N,\N
50,50,50,\N,\N,\N,\N
51,51,51,\N,\N,\N,\N
52,52,52,\N,\N,\N,\N
53,53,53,\N,\N,\N,\N
54,54,54,\N,\N,\N,\N
55,55,55,\N,\N,\N,\N
56,56,56,\N,\N,\N,\N
57,57,57,\N,\N,\N,\N
58,58,58,\N,\N,\N,\N
59,59,59,\N,\N,\N,\N
60,60,60,\N,\N,\N,\N
61,61,61,\N,\N,\N,\N
62,62,62,\N,\N,\N,\N
63,63,63,\N,\N,\N,\N
64,64,64,\N,\N,\N,\N
65,65,65,\N,\N,\N,\N
66,66,66,\N,\N,\N,\N
67,67,67,\N,\N,\N,\N
68,68,68,\N,\N,\N,\N
69,69,69,\N,\N,\N,\N
70,70,70,\N,\N,\N,\N
71,71,71,\N,\N,\N,\N
72,72,72,\N,\N,\N,\N
73,73,73,\N,\N,\N,\N
74,74,74,\N,\N,\N,\N
75,75,75,\N,\N,\N,\N
76,76,76,\N,\N,\N,\N
77,77,77,\N,\N,\N,\N
78,78,78,\N,\N,\N,\N
79,79,79,\N,\N,\N,\N
80,80,80,\N,\N,\N,\N
81,1,81,\N,\N,\N,\N
82,2,82,\N,\N,\N,\N
83,3,83,\N,\N,\N,\N
84,4,84,\N,\N,\N,\N
85,5,85,\N,\N,\N,\N
86,6,86,\N,\N,\N,\N
87,7,87,\N,\N,\N,\N
88,8,88,\N,\N,\N,\N
89,9,89,\N,\N,\N,\N
90,10,90,\N,\N,\N,\N
91,11,91,\N,\N,\N,\N
92,12,92,\N,\N,\N,\N
93,13,93,\N,\N,\N,\N
94,14,94,\N,\N,\N,\N
95,15,95,\N,\N,\N,\N
96,16,96,\N,\N,\N,\N
97,17,97,\N,\N,\N,\N
98,18,98,\N,\N,\N,\N
99,19,99,\N,\N,\N,\N
100,20,100,\N,\N,\N,\N
101,21,101,\N,\N,\N,\N
102,22,102,\N,\N,\N,\N
103,23,103,\N,\N,\N,\N
104,24,104,\N,\N,\N,\N
105,25,105,\N,\N,\N,\N
106,26,106,\N,\N,\N,\N
107,27,107,\N,\N,\N,\N
108,28,108,\N,\N,\N,\N
109,29,109,\N,\N,\N,\N
110,30,110,\N,\N,\N,\N
111,31,111,\N,\N,\N,\N
112,32,112,\N,\N,\N,\N
113,33,113,\N,\N,\N,\N
114,34,114,\N,\N,\N,\N
115,35,115,\N,\N,\N,\N
